08-15-2020 02:07:12.865 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - beforeClass - Application launched successfully
08-15-2020 02:07:12.952 INFO  com.sanjayautomation.recipebook.utilities.WebEventListener - beforeClickOn - Trying to click on: [[ChromeDriver: chrome on MAC (86c467a12cf176ebd46c4600fc9daa9b)] -> xpath: //a[contains(text(), 'Shopping List')]]
08-15-2020 02:07:13.397 INFO  com.sanjayautomation.recipebook.utilities.WebEventListener - beforeClickOn - Trying to click on: [[ChromeDriver: chrome on MAC (86c467a12cf176ebd46c4600fc9daa9b)] -> xpath: //button[contains(text(),'Add')]]
08-15-2020 02:07:13.529 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - test_shouldAddNewIngredient_whenValidNameAndAmountEntered - Test passed
08-15-2020 02:07:13.757 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - tearDown - Browser terminated
08-15-2020 02:07:13.758 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - tearDown - ----------------------------------------------
08-15-2020 02:07:16.211 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - beforeClass - Application launched successfully
08-15-2020 02:07:16.237 INFO  com.sanjayautomation.recipebook.utilities.WebEventListener - beforeClickOn - Trying to click on: [[ChromeDriver: chrome on MAC (28a7b3b08a34c1faf3c198a5141600fd)] -> xpath: //a[contains(text(), 'Shopping List')]]
08-15-2020 02:07:16.516 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - test_shouldDisableAddButton_WhenOnlyNameIsEngered - Test passed
08-15-2020 02:07:16.730 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - tearDown - Browser terminated
08-15-2020 02:07:16.731 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - tearDown - ----------------------------------------------
08-15-2020 02:07:19.149 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - beforeClass - Application launched successfully
08-15-2020 02:07:19.177 INFO  com.sanjayautomation.recipebook.utilities.WebEventListener - beforeClickOn - Trying to click on: [[ChromeDriver: chrome on MAC (c68eb95974a72b80dcfcf3d9da3ad499)] -> xpath: //a[contains(text(), 'Shopping List')]]
08-15-2020 02:07:19.544 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - test_shouldDisableAddButton_WhenAmountIsNotNumber - Test passed
08-15-2020 02:07:19.800 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - tearDown - Browser terminated
08-15-2020 02:07:19.801 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - tearDown - ----------------------------------------------
