08-15-2020 02:03:00.538 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - beforeClass - Application launched successfully
08-15-2020 02:03:00.654 INFO  com.sanjayautomation.recipebook.utilities.WebEventListener - beforeClickOn - Trying to click on: [[ChromeDriver: chrome on MAC (72920a036930e49f97d294bad1bce9c4)] -> xpath: //a[contains(text(), 'Shopping List')]]
08-15-2020 02:03:01.342 INFO  com.sanjayautomation.recipebook.utilities.WebEventListener - beforeClickOn - Trying to click on: [[ChromeDriver: chrome on MAC (72920a036930e49f97d294bad1bce9c4)] -> xpath: //button[contains(text(),'Add')]]
08-15-2020 02:03:01.467 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - test_shouldAddNewIngredient_whenValidNameAndAmountEntered - Test passed
08-15-2020 02:03:01.707 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - tearDown - Browser terminated
08-15-2020 02:03:01.708 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - tearDown - ----------------------------------------------
08-15-2020 02:03:04.171 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - beforeClass - Application launched successfully
08-15-2020 02:03:04.200 INFO  com.sanjayautomation.recipebook.utilities.WebEventListener - beforeClickOn - Trying to click on: [[ChromeDriver: chrome on MAC (42bc24c52e0e4175de40c589afbada5b)] -> xpath: //a[contains(text(), 'Shopping List')]]
08-15-2020 02:03:04.502 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - test_shouldDisableAddButton_WhenOnlyNameIsEngered - Test passed
08-15-2020 02:03:04.653 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - tearDown - Browser terminated
08-15-2020 02:03:04.654 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - tearDown - ----------------------------------------------
08-15-2020 02:03:07.017 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - beforeClass - Application launched successfully
08-15-2020 02:03:07.051 INFO  com.sanjayautomation.recipebook.utilities.WebEventListener - beforeClickOn - Trying to click on: [[ChromeDriver: chrome on MAC (bf877ab3497b5d11c9d75b774438f83a)] -> xpath: //a[contains(text(), 'Shopping List')]]
08-15-2020 02:03:07.423 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - test_shouldDisableAddButton_WhenAmountIsNotNumber - Test passed
08-15-2020 02:03:07.672 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - tearDown - Browser terminated
08-15-2020 02:03:07.673 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - tearDown - ----------------------------------------------
