08-15-2020 02:05:01.914 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - beforeClass - Application launched successfully
08-15-2020 02:05:01.955 INFO  com.sanjayautomation.recipebook.utilities.WebEventListener - beforeClickOn - Trying to click on: [[ChromeDriver: chrome on MAC (e1be3efd359d36529ac5cb27342a2a95)] -> xpath: //a[contains(text(), 'Shopping List')]]
08-15-2020 02:05:03.197 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - test_shouldDisableAddButton_WhenAmountIsNotNumber - Test passed
08-15-2020 02:05:04.806 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - tearDown - Browser terminated
08-15-2020 02:05:04.807 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - tearDown - ----------------------------------------------
08-15-2020 02:05:26.035 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - beforeClass - Application launched successfully
08-15-2020 02:05:26.093 INFO  com.sanjayautomation.recipebook.utilities.WebEventListener - beforeClickOn - Trying to click on: [[ChromeDriver: chrome on MAC (aee2b3e086bd645c6595be19abd3a660)] -> xpath: //a[contains(text(), 'Shopping List')]]
08-15-2020 02:05:26.443 INFO  com.sanjayautomation.recipebook.utilities.WebEventListener - beforeClickOn - Trying to click on: [[ChromeDriver: chrome on MAC (aee2b3e086bd645c6595be19abd3a660)] -> xpath: //button[contains(text(),'Add')]]
08-15-2020 02:05:26.556 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - test_shouldAddNewIngredient_whenValidNameAndAmountEntered - Test passed
08-15-2020 02:05:26.760 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - tearDown - Browser terminated
08-15-2020 02:05:26.760 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - tearDown - ----------------------------------------------
08-15-2020 02:05:29.124 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - beforeClass - Application launched successfully
08-15-2020 02:05:29.157 INFO  com.sanjayautomation.recipebook.utilities.WebEventListener - beforeClickOn - Trying to click on: [[ChromeDriver: chrome on MAC (bb24f604a26808f5887d6a428dee10fc)] -> xpath: //a[contains(text(), 'Shopping List')]]
08-15-2020 02:05:29.481 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - test_shouldDisableAddButton_WhenOnlyNameIsEngered - Test passed
08-15-2020 02:05:29.695 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - tearDown - Browser terminated
08-15-2020 02:05:29.695 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - tearDown - ----------------------------------------------
08-15-2020 02:05:32.021 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - beforeClass - Application launched successfully
08-15-2020 02:05:32.051 INFO  com.sanjayautomation.recipebook.utilities.WebEventListener - beforeClickOn - Trying to click on: [[ChromeDriver: chrome on MAC (b31da4c810823b71a454a1d1f69f457e)] -> xpath: //a[contains(text(), 'Shopping List')]]
08-15-2020 02:05:32.423 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - test_shouldDisableAddButton_WhenAmountIsNotNumber - Test passed
08-15-2020 02:05:32.636 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - tearDown - Browser terminated
08-15-2020 02:05:32.636 INFO  com.sanjayautomation.recipebook.testcases.TestShoppingListPage - tearDown - ----------------------------------------------
